JUGADOR;EQUIPO;PJ;PI;MIN;GOL;ASIS.;TIROS;TIRO_ARCO;ATAJ;VAY_INV;TARJ_AM;TARJ_ROJ;FAL_COM;FAL_REC;OFFSIDE
Lucas Olaza;Celta de Vigo;17;17;1528;1;2;6;4;0;0;3;0;14;9;0
Lucas Pérez;Alavés;19;15;1355;8;3;17;10;0;0;2;0;16;8;17
Lucas Vázquez;Real Madrid;7;4;358;1;0;4;2;0;0;1;0;13;5;1
Luis Alberto Suárez Díaz;Barcelona;17;15;1278;11;7;43;29;0;0;4;0;13;14;9
Luis Rioja;Alavés;15;12;974;0;0;4;1;0;0;2;0;12;9;0
Luka Jovic;Real Madrid;12;3;327;1;0;11;2;0;0;2;0;4;1;4
Lumor Agbenyenu;Mallorca;13;10;1039;0;0;5;0;0;0;1;1;10;5;0
Luuk de Jong;Sevilla;16;13;1122;2;0;31;11;0;0;2;0;17;15;10
Manuel Agudo Durán;Sevilla;11;10;732;2;0;18;11;0;0;0;0;19;8;9
Manuel Alejandro García Sánchez;Alavés;17;14;1196;0;0;12;4;0;0;7;1;39;25;3
Manuel Javier Vallejo Galván;Valencia CF;8;2;315;1;0;4;2;0;0;0;0;5;3;1
Manuel Morlanes;Villarreal;2;1;90;0;0;0;0;0;0;0;0;1;0;0
Manuel Reina;Mallorca;18;18;1620;0;0;0;0;67;3;1;0;0;5;0
Manuel Sánchez;Atlético de Madrid;1;1;63;0;0;0;0;0;0;1;0;2;0;1
Manuel Trigueros Muñoz;Villarreal;12;6;537;1;2;5;3;0;0;2;0;8;11;0
Marc Bartra;Real Betis;16;15;1343;2;1;9;3;0;0;3;0;16;21;0
Marc Cardona;Osasuna;9;5;414;1;1;7;2;0;0;1;0;5;5;4
Marc Cucurella;Getafe;19;19;1691;1;3;10;4;0;0;4;0;42;27;1
Marc Navarro;Leganés;4;3;219;0;0;2;0;0;0;1;0;6;0;0
Marc Pedraza;Mallorca;2;1;74;0;0;0;0;0;0;0;0;1;0;0
Marc Roca;Español;19;19;1629;2;1;12;4;0;0;4;0;42;11;0
Marcelo;Real Madrid;6;6;540;0;1;5;4;0;0;1;0;4;6;0
Marcos Llorente;Atlético de Madrid;12;3;311;0;0;2;0;0;0;4;0;5;3;0
Marcos Paulo Mesquita Lopes;Sevilla;1;0;11;0;0;1;0;0;0;0;0;0;0;0
Mariano;Real Madrid;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mario Gaspar;Villarreal;11;11;981;0;1;5;0;0;0;2;0;11;8;0
Mario Hermoso;Atlético de Madrid;12;10;870;0;0;2;2;0;0;2;0;13;7;2
Mario Rodríguez;Granada CF;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Marko Dmitrović;Eibar;19;19;1710;0;0;0;0;32;5;3;0;1;1;0
Martín Aguirregabiria;Alavés;16;14;1282;0;1;1;0;0;0;2;0;22;13;1
Martin Braithwaite Christensen;Leganés;19;16;1495;6;1;24;15;0;0;1;0;19;24;9
Martin Ødegaard;Real Sociedad;17;17;1530;4;5;21;10;0;0;3;0;20;23;0
Martin Valjent;Mallorca;19;19;1710;0;0;9;1;0;0;3;0;10;6;0
Masip;Real Valladolid;19;19;1710;0;0;0;0;49;6;2;0;0;0;0
Mathías Olivera;Getafe;6;3;344;0;1;1;0;0;0;1;1;8;2;1
Matías Vargas;Español;14;10;888;0;3;8;2;0;0;1;0;6;17;1
Mauro Arambarri;Getafe;17;17;1530;1;1;13;4;0;0;5;0;34;34;0
Maxime Gonalons;Granada CF;12;10;921;0;0;2;1;0;0;5;0;19;16;0
Maximiliano Gómez González;Valencia CF;16;11;1029;7;1;15;12;0;0;2;0;21;33;18
Miguel Alfonso Herrero Javaloyas;Real Valladolid;17;16;1346;1;1;5;2;0;0;4;0;24;8;1
Miguel Ángel Atienza;Eibar;1;0;25;0;0;0;0;0;0;0;0;1;1;0
Miguel Angel Leal;Villarreal;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Miguel Ángel Moyá;Real Sociedad;7;7;630;0;0;0;0;24;2;0;0;0;0;0
Miguel De la Fuente;Real Valladolid;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Mikel Balenziaga;Athletic Club;2;2;180;0;0;0;0;0;0;1;0;1;0;0
Mikel Merino;Real Sociedad;19;18;1635;2;1;17;5;0;0;3;0;41;46;0
Mikel Oyarzabal Ugarte;Real Sociedad;19;19;1645;7;4;32;18;0;0;2;0;26;28;9
Mikel San José;Athletic Club;8;2;265;0;0;3;1;0;0;2;0;4;1;1
Mikel Vesga;Athletic Club;4;3;285;0;0;3;1;0;0;0;0;6;1;0
Miquel Parera;Mallorca;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Moctar Sidi El Hacen El Ide;Real Valladolid;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Modibo Sagnan;Real Sociedad;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Modric Modrić;Real Madrid;14;8;817;3;4;9;5;0;0;1;1;14;11;1
Mohammed Salisu;Real Valladolid;19;18;1646;1;1;3;1;0;0;2;0;13;9;1
Moisés Gómez Bardonado;Villarreal;18;15;1223;3;2;12;7;0;0;1;0;13;14;7
Mouctar Diakhaby;Valencia CF;9;5;506;0;0;0;0;0;0;1;0;9;9;0
Moussa Wagué;Barcelona;1;1;90;0;0;0;0;0;0;0;0;1;0;0
Mubarak Wakaso;Alavés;16;15;1287;0;0;12;1;0;0;10;1;40;24;0
Munir El Haddadi;Sevilla;9;6;577;2;0;16;9;0;0;1;0;10;17;5
Nabil Fekir;Real Betis;16;15;1313;4;1;37;17;0;0;5;0;35;65;6
Navas Navas;Osasuna;5;4;395;0;0;0;0;0;0;1;0;3;3;0
Nélson Cabral Semedo;Barcelona;16;11;934;0;2;2;0;0;0;1;0;12;19;1
Nemanja Gudelj;Sevilla;10;1;291;0;0;1;1;0;0;3;0;8;2;0
Nemanja Maksimović;Getafe;17;16;1395;1;0;10;4;0;0;1;0;8;6;1
Nemanja Radoja;Levante;15;14;1274;1;0;1;1;0;0;2;0;9;14;2
Néstor Alejandro Araújo Razo;Celta de Vigo;17;16;1471;1;1;6;3;0;0;5;0;13;3;0
Nikola Vukčević;Levante;15;7;584;0;1;2;1;0;0;5;0;12;12;0
Norberto Murara Neto;Barcelona;1;1;90;0;0;0;0;1;0;0;0;0;0;0
Oier Olazábal;Levante;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oier Sanjurjo;Osasuna;15;15;1260;1;0;7;3;0;0;6;1;25;23;1
Oihan Sancet;Athletic Club;5;3;263;0;1;4;2;0;0;1;0;5;4;0
Okay Yokuşlu;Celta de Vigo;8;8;644;0;0;2;1;0;0;2;0;15;3;0
Oliver Burke;Alavés;15;4;570;0;1;5;1;0;0;1;0;9;6;0
Óliver Torres;Sevilla;16;12;908;1;1;8;6;0;0;4;0;18;9;0
Óscar De Marcos;Athletic Club;4;3;188;0;0;0;0;0;0;0;0;1;3;2
Óscar Esau Duarte Gaitán;Levante;5;3;302;0;0;2;1;0;0;0;0;8;2;0
Óscar Melendo;Español;9;5;463;0;0;1;0;0;0;0;0;4;14;0
Óscar Plano;Real Valladolid;19;17;1514;3;2;20;10;0;0;2;0;33;31;2
Óscar Rodríguez;Leganés;18;16;1237;4;1;27;13;0;0;2;1;15;27;1
Ousmane Dembélé;Barcelona;5;3;358;1;0;4;2;0;0;1;1;1;5;4
Pablo Chavarria;Mallorca;5;0;66;0;0;2;0;0;0;0;0;3;0;2
Pablo De Blasis;Eibar;14;9;899;0;2;4;0;0;0;0;0;10;8;0
Pablo Hervías;Real Valladolid;10;4;378;1;0;8;4;0;0;0;0;4;11;1
Pablo Martínez;Levante;1;0;8;0;0;0;0;0;0;0;0;0;1;0
Pablo Piatti;Español;3;0;53;0;0;0;0;0;0;0;0;0;2;1
Pape Cheikh Diop Gueye;Celta de Vigo;12;5;523;0;1;0;0;0;0;3;1;20;13;0
Pape Diop;Eibar;15;14;1224;1;0;11;6;0;0;5;0;28;18;0
Pau Francisco Torres;Villarreal;19;19;1710;1;1;6;1;0;0;3;0;16;4;0
Paulo André Rodrigues de Oliveira;Eibar;17;15;1410;1;0;6;3;0;0;4;1;13;12;0
Pedro Bigas;Eibar;7;6;435;0;0;2;0;0;0;1;0;2;6;0
Pedro León;Eibar;17;12;1038;1;0;18;9;0;0;2;0;9;7;3
Pedro Porro;Real Valladolid;11;6;629;0;0;0;0;0;0;1;0;3;9;0
Pere Pons;Alavés;17;5;643;1;1;1;1;0;0;0;0;13;7;0
Pervis Josué Estupiñán Tenorio;Osasuna;19;19;1707;1;3;7;2;0;0;5;0;19;20;2
Pione Sisto;Celta de Vigo;13;5;537;1;0;15;9;0;0;0;0;3;18;3
Piqué;Barcelona;18;18;1613;1;0;7;4;0;0;8;0;16;10;0
Pol Lozano;Español;1;0;17;0;0;0;0;0;0;0;0;0;0;0
Rafinha;Celta de Vigo;14;11;962;1;0;8;5;0;0;1;0;15;45;1
Ramiro Funes Mori;Villarreal;3;1;92;0;0;1;0;0;0;1;0;1;1;0
Ramon Olamilekan Azeez;Granada CF;13;7;672;2;0;9;2;0;0;3;0;18;10;1
Raúl Albiol Tortajada;Villarreal;18;18;1618;1;0;8;4;0;0;7;0;16;9;1
Raul García;Real Betis;2;0;13;0;0;0;0;0;0;0;0;0;0;0
Raúl García;Athletic Club;18;18;1563;5;1;36;18;0;0;6;0;50;28;9
Raúl García;Real Valladolid;4;3;246;0;0;0;0;0;0;0;0;3;4;0
Renan Augusto Lodi dos Santos;Atlético de Madrid;16;14;1183;1;2;11;2;0;0;1;1;20;21;3
Robert Ibáñez;Osasuna;10;3;344;1;0;3;1;0;0;1;0;5;14;1
Robert Kenedy Nunes do Nascimento;Getafe;10;2;344;1;2;8;3;0;0;1;0;8;6;1
Roberto Antonio Correa Silva;Eibar;4;3;257;0;0;1;0;0;0;0;0;3;4;0
Roberto José Rosales Altuve;Leganés;11;10;901;0;1;1;0;0;0;5;0;17;5;1
Roberto Soldado;Granada CF;17;16;1249;2;3;8;3;0;0;8;0;23;28;11
Roberto Torres;Osasuna;19;18;1573;4;5;42;14;0;0;1;0;11;21;1
Robin Le Normand;Real Sociedad;13;8;832;1;0;4;1;0;0;5;0;16;8;0
Rodrigo Ely;Alavés;13;13;1136;0;0;2;0;0;0;3;0;17;8;1
Rodrigo Moreno Machado;Valencia CF;17;16;1240;2;6;23;10;0;0;2;1;12;21;4
Rodrigo Riquelme;Atlético de Madrid;1;0;12;0;0;1;0;0;0;0;0;0;1;0
Rodrigo Tarín;Leganés;6;4;311;0;0;1;0;0;0;1;0;3;3;0
Rodrygo Silva de Goes;Real Madrid;10;6;514;2;0;8;4;0;0;0;0;7;9;1
Roger Martí;Levante;18;11;982;9;0;22;14;0;0;3;0;19;18;4
Ronald Araújo;Barcelona;1;0;14;0;0;0;0;0;0;0;1;1;0;0
Roque Mesa;Leganés;15;13;1180;1;2;12;7;0;0;6;0;21;26;1
Rubén Alcaraz;Real Valladolid;9;5;540;0;1;5;2;0;0;6;0;11;21;0
Rubén Blanco;Celta de Vigo;17;17;1530;0;0;0;0;54;3;2;0;0;2;0
Rubén Duarte;Alavés;17;17;1530;0;1;12;6;0;0;6;0;25;19;0
Rubén García;Osasuna;17;16;1357;5;1;27;12;0;0;3;0;30;15;2
Rubén Martínez;Osasuna;13;13;1099;0;0;0;0;22;3;0;0;0;1;0
Rúben Miguel Nunes Vezo;Levante;14;14;1260;0;0;6;2;0;0;4;0;16;16;0
Rubén Pardo;Real Sociedad;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rubén Peña;Villarreal;12;9;857;0;1;2;1;0;0;1;0;19;7;0
Rubén Pérez;Leganés;13;13;1119;0;0;6;2;0;0;4;0;19;19;0
Rubén Rochina;Levante;15;10;905;2;0;24;7;0;0;3;0;16;25;1
Rubén Sobrino;Valencia CF;6;1;116;1;0;4;3;0;0;0;0;6;5;0
Rui Tiago Dantas da Silva;Granada CF;19;19;1710;0;0;0;0;60;8;1;0;0;2;0
Sabin Merino;Leganés;2;1;78;0;0;0;0;0;0;0;0;0;1;0
Salvador Sevilla;Mallorca;18;18;1397;3;1;12;7;0;0;5;0;19;10;1
Samuel Chimerenka Chukwueze;Villarreal;18;11;1106;3;1;16;7;0;0;0;0;5;22;7
Samuel Yves;Barcelona;5;4;367;0;0;0;0;0;0;2;0;8;5;1
Sandro Ramírez;Real Valladolid;14;10;788;1;0;22;10;0;0;2;0;12;22;4
Santi Mina;Celta de Vigo;16;12;1095;2;2;24;7;0;0;4;0;33;21;5
Santiago Arias;Atlético de Madrid;5;4;395;0;1;2;1;0;0;0;0;3;8;0
Santiago Cáseres;Villarreal;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Santiago Cazorla González;Villarreal;16;13;1158;6;4;23;16;0;0;1;0;12;16;1
Saúl Ñíguez Esclapez;Atlético de Madrid;18;18;1620;2;0;21;6;0;0;5;0;35;13;4
Sébastien Corchia;Español;3;3;269;0;0;2;1;0;0;1;0;4;5;0
Sergi Darder;Español;18;16;1398;2;0;21;5;0;0;1;0;11;17;1
Sergi Enrich;Eibar;13;10;848;1;0;9;2;0;0;2;0;28;11;6
Sergi Gómez Solà;Sevilla;1;0;7;0;0;0;0;0;0;0;0;0;0;0
Sergi Roberto;Barcelona;17;16;1361;0;2;2;1;0;0;6;0;12;22;0
Sergio Álvarez;Eibar;8;6;496;0;0;1;0;2;1;4;0;10;6;0
Sergio Álvarez;Celta de Vigo;2;2;180;0;0;0;0;0;0;2;0;0;0;0
Sergio Asenjo;Villarreal;16;16;1440;0;0;0;0;44;6;1;0;2;2;0
Sergio Bermejo;Celta de Vigo;1;0;4;0;0;0;0;0;0;0;0;0;0;0
Sergio Busquets i Burgos;Barcelona;15;12;1111;1;2;3;2;0;0;5;0;17;22;0
Sergio Camello;Atlético de Madrid;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sergio Canales Madrazo;Real Betis;18;18;1574;1;1;15;3;0;0;3;0;15;21;0
Sergio Carreira;Celta de Vigo;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sergio Cubero;Eibar;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sergio Escudero;Sevilla;4;2;234;0;0;2;2;0;0;1;0;2;3;0
Sergio Guardiola Navarro;Real Valladolid;19;18;1552;4;1;26;11;0;0;4;0;31;35;9
Sergio Herrera;Osasuna;5;4;431;0;0;0;0;22;0;2;0;0;4;0
Sergio León;Levante;10;4;410;1;0;10;3;0;0;2;0;6;4;9
Sergio Postigo;Levante;13;13;1122;1;0;3;2;0;0;3;0;8;8;1
Sergio Ramos García;Real Madrid;18;18;1590;3;0;18;8;0;0;5;0;28;13;1
Sergio Reguilón Rodríguez;Sevilla;16;16;1369;1;2;11;4;0;0;5;0;29;23;3
Sidnei Rechel da Silva Júnior;Real Betis;7;7;592;0;0;1;1;0;0;0;0;3;3;0
Stanislav Lobotka;Celta de Vigo;17;17;1391;0;0;5;3;0;0;1;0;11;21;1
Stefan Savić;Atlético de Madrid;6;6;540;0;0;2;2;0;0;1;0;6;4;0
Stiven Plaza;Real Valladolid;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Takashi Inui;Eibar;14;13;1078;1;2;18;5;0;0;2;0;20;13;3
Takefusa Kubo;Mallorca;16;10;1046;1;1;13;7;0;0;1;0;19;30;1
Tejero;Eibar;11;9;855;0;0;1;0;0;0;3;0;11;13;1
ter Stegen;Barcelona;18;18;1620;0;2;0;0;36;5;0;0;0;2;0
Thibaut Courtois;Real Madrid;16;16;1440;0;0;1;1;34;9;0;0;0;2;0
Thierry Rendall Correia;Valencia CF;2;2;180;0;0;0;0;0;0;0;0;3;5;0
Thomas Lemar;Atlético de Madrid;15;9;765;0;0;2;2;0;0;1;0;6;7;0
Thomas Teye Partey;Atlético de Madrid;17;14;1226;1;0;5;2;0;0;8;0;27;13;0
Tomás Pina;Alavés;13;12;899;1;0;1;1;0;0;3;0;24;12;0
Tomáš Vaclík;Sevilla;19;19;1710;0;0;0;0;36;8;0;0;0;2;0
Unai Bustinza;Leganés;16;15;1341;0;1;5;3;0;0;2;0;25;21;3
Unai García;Osasuna;1;0;18;0;0;0;0;0;0;0;0;0;0;0
Unai López;Athletic Club;14;13;943;0;3;10;3;0;0;4;0;20;11;1
Unai Núñez;Athletic Club;7;6;585;0;0;1;1;0;0;3;0;8;0;0
Unai Simón;Athletic Club;18;18;1620;0;0;0;0;49;9;2;0;1;2;0
Varane;Real Madrid;15;15;1350;2;1;4;2;0;0;1;0;7;4;0
Vasyl Kravets;Leganés;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vicente Esquerdo;Valencia CF;2;0;11;0;0;0;0;0;0;0;0;0;0;0
Vicente Iborra;Villarreal;18;18;1498;0;1;9;1;0;0;5;0;27;27;0
Víctor Campuzano;Español;13;7;697;0;0;9;6;0;0;2;0;22;11;11
Víctor Díaz;Granada CF;18;18;1620;0;5;8;0;0;0;2;0;11;7;1
Víctor Gómez;Español;10;10;859;0;0;2;0;0;0;1;0;12;17;0
Víctor Laguardia;Alavés;13;13;1169;1;1;5;2;0;0;5;1;19;5;1
Víctor Machín Pérez;Atlético de Madrid;13;5;567;2;1;10;7;0;0;2;0;11;15;2
Víctor Sánchez;Español;15;15;1231;0;1;5;0;0;0;5;0;31;22;0
Vinicius José Paixão de Oliveira Júnior;Real Madrid;12;6;600;1;1;16;10;0;0;2;0;7;10;3
Vitorino Gabriel Pacheco Antunes;Getafe;1;0;5;0;0;0;0;0;0;0;0;0;0;0
Waldo Rubio;Real Valladolid;10;4;425;0;1;6;2;0;0;3;0;7;3;2
William Silva de Carvalho;Real Betis;6;6;475;0;0;4;2;0;0;3;1;6;4;0
Willian José;Real Sociedad;19;16;1219;8;0;28;14;0;0;3;0;16;8;8
Xabier Etxeita;Getafe;4;3;315;0;0;0;0;0;0;2;0;4;1;0
Xavier Quintillá;Villarreal;15;15;1317;0;2;3;1;0;0;4;0;23;10;0
Yan Brice Eteki;Granada CF;10;6;541;0;0;2;0;0;0;3;0;27;9;0
Yangel Clemente Herrera Ravelo;Granada CF;13;12;1038;2;0;13;4;0;0;6;0;38;20;2
Yannis Salibur;Mallorca;2;0;52;0;0;0;0;0;0;0;0;2;3;0
Yassine Bounou;Sevilla;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Yeray Álvarez;Athletic Club;17;17;1530;0;0;4;0;0;0;2;0;14;18;0
Yoel Rodríguez;Eibar;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Youssef En-Nesyri;Leganés;18;15;1383;4;2;33;17;0;0;2;0;21;19;17
Yuri;Athletic Club;17;17;1529;2;0;12;6;0;0;1;0;20;32;0
Zouhair Feddal;Real Betis;10;10;849;0;1;3;1;0;0;7;1;14;7;0
