JUGADOR;EQUIPO;PJ;PI;MIN;GOL;ASIS.;TIROS;TIRO_ARCO;ATAJ;VAY_INV;TARJ_AM;TARJ_ROJ;FAL_COM;FAL_REC;OFFSIDE
Borja Sainz;Alavés;8;2;254;0;0;5;2;0;0;1;0;7;3;1
Brahim Díaz;Real Madrid;3;0;23;0;0;0;0;0;0;0;0;0;4;0
Brais Méndez;Celta de Vigo;17;9;863;0;1;9;5;0;0;2;0;19;24;3
Bruno González;Getafe;2;2;180;0;0;0;0;0;0;1;0;6;2;1
Bryan Gil;Sevilla;2;0;63;0;0;0;0;0;0;2;0;1;0;0
Burgui;Alavés;1;0;4;0;0;0;0;0;0;0;0;0;0;0
Carles Aleñá;Real Betis;5;2;179;0;0;2;1;0;0;0;0;3;2;0
Carles Pérez;Barcelona;9;5;462;1;2;9;6;0;0;0;0;3;3;2
Carlos Bacca;Villarreal;10;2;241;0;0;5;2;0;0;1;0;5;0;3
Carlos Clerc;Levante;12;12;1080;0;1;2;0;0;0;4;0;13;13;1
Carlos Fernández;Granada CF;17;8;961;3;1;13;6;0;0;4;0;30;17;2
Carlos Henrique Casimiro;Real Madrid;17;17;1500;1;1;15;5;0;0;5;0;42;29;1
Carlos Marín;Real Betis;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carlos Neva;Granada CF;12;11;1001;0;0;2;1;0;0;1;0;3;11;0
Carlos Soler;Valencia CF;10;8;717;1;0;5;2;0;0;3;0;7;8;1
Carvajal Carvajal;Real Madrid;16;16;1440;1;4;10;6;0;0;4;0;20;13;2
Charles Dias de Oliveira;Eibar;16;7;708;2;0;8;5;0;0;4;0;23;12;5
Chidozie Collins Awaziem;Leganés;12;10;964;0;0;3;0;0;0;3;0;9;5;1
Christian Rivera;Leganés;5;3;309;0;0;0;0;0;0;3;0;6;5;0
Cillessen;Valencia CF;14;14;1197;0;1;0;0;42;3;1;0;0;2;0
Clément Nicolas Laurent Lenglet;Barcelona;15;15;1342;1;1;6;2;0;0;4;1;19;12;1
Cristian Portugués Manzanera;Real Sociedad;18;14;1352;5;5;14;10;0;0;4;0;21;14;11
Cristian Rivero;Valencia CF;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cristian Tello;Real Betis;10;3;344;0;0;7;4;0;0;0;0;3;2;0
Cristiano Piccini;Valencia CF;2;1;75;0;0;1;0;0;0;0;0;1;1;0
Damián Suárez;Getafe;15;15;1302;0;3;4;0;0;0;8;0;25;31;0
Daniel Cárdenas;Levante;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Daniel Filipe Martins Carriço;Sevilla;11;10;848;0;0;6;0;0;0;3;0;8;2;0
Daniel García Carrillo;Athletic Club;19;19;1710;0;0;7;0;0;0;4;0;31;22;0
Daniel José Rodríguez Vázquez;Mallorca;19;18;1513;3;0;18;7;0;0;2;0;31;30;4
Daniel Martín Fernández;Real Betis;2;1;170;0;0;0;0;3;0;0;0;0;0;0
Daniel Morer Cabrera;Barcelona;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Daniel Parejo Muñoz;Valencia CF;18;18;1620;6;2;18;11;0;0;4;0;13;53;2
Daniel Rebollo;Real Betis;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Daniel Torres;Alavés;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Daniel Vivian;Athletic Club;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Daniel Wass;Valencia CF;18;17;1537;1;4;10;2;0;0;4;0;19;21;1
Darío Poveda;Atlético de Madrid;1;0;7;0;0;0;0;0;0;0;0;0;0;0
Darko Brasanac;Osasuna;14;12;1049;0;1;11;6;0;0;4;0;24;10;2
Darwin Daniel Machís Marcano;Granada CF;19;9;1013;2;1;28;15;0;0;2;0;21;17;5
David Costas;Celta de Vigo;6;3;335;0;0;1;0;0;0;1;0;5;2;0
David García;Osasuna;15;15;1350;0;0;7;3;0;0;2;0;20;7;0
David Juncà;Celta de Vigo;3;3;259;0;0;0;0;0;0;1;0;5;7;1
David López;Español;15;12;1047;1;2;3;3;0;0;1;0;19;15;0
David Remeseiro Salgueiro;Getafe;11;11;877;1;4;8;5;0;0;5;0;16;20;1
David Soria;Getafe;19;19;1710;0;0;0;0;44;6;1;0;1;0;0
David Timor;Getafe;8;3;308;2;0;7;3;0;0;2;0;7;6;0
David Zurutuza;Real Sociedad;4;1;92;0;0;0;0;0;0;0;0;1;0;0
Denis Cheryshev;Valencia CF;10;5;455;1;1;8;4;0;0;5;0;14;6;0
Denis Suárez;Celta de Vigo;16;15;1199;1;2;10;7;0;0;2;0;11;26;0
Dídac Vilá;Español;14;12;1112;0;0;4;1;0;0;2;0;13;10;2
Diego Altube;Real Madrid;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Diego Carlos Santos Silva;Sevilla;19;19;1695;2;0;13;3;0;0;4;0;25;4;0
Diego Da Silva Costa;Atlético de Madrid;11;8;757;2;2;12;3;0;0;2;0;13;11;11
Diego Javier Llorente Ríos;Real Sociedad;16;16;1358;0;1;5;1;0;0;1;1;14;11;2
Diego Lainez Leyva;Real Betis;10;1;209;0;0;2;1;0;0;0;0;4;10;0
Diego López;Español;19;19;1710;0;0;0;0;54;2;1;0;0;4;0
Dimitri Foulquier;Granada CF;1;0;31;0;0;1;1;0;0;0;0;1;0;0
Dimitrios Siovas;Leganés;13;13;1029;0;0;6;3;0;0;3;0;13;4;2
Djené Dakonam Ortega;Getafe;17;17;1530;0;0;3;1;0;0;2;0;25;15;1
Domingos de Sousa Coutinho Meneses Duarte;Granada CF;19;19;1665;2;0;6;3;0;0;4;0;18;10;2
Eden Hazard;Real Madrid;8;7;607;1;1;8;6;0;0;0;0;9;30;2
Éder Gabriel Militão;Real Madrid;7;5;452;0;0;1;1;0;0;2;0;7;10;2
Edgar González;Real Betis;2;2;149;0;0;0;0;0;0;1;0;2;1;0
Edinaldo Gomes Pereira;Español;14;12;1061;0;0;5;0;0;0;5;1;17;3;0
Eduardo Expósito;Eibar;18;10;1016;1;1;7;3;0;0;3;0;13;7;0
Ekhi Bravo;Eibar;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eliaquim Mangala;Valencia CF;2;2;180;0;0;1;0;0;0;0;0;2;0;0
Eliseo Falcón;Levante;1;1;74;0;0;0;0;0;0;0;1;2;0;0
Emerson Aparecido Leite de Souza Junior;Real Betis;16;16;1440;3;4;12;4;0;0;4;0;21;45;1
Enes Ünal;Real Valladolid;16;9;1004;3;1;19;8;0;0;2;0;19;28;9
Enis Bardhi;Levante;14;10;950;2;1;19;9;0;0;4;0;23;20;4
Enrique Gallego Puigsech;Getafe;5;2;162;0;0;2;1;0;0;0;0;4;2;0
Enrique García Martínez;Eibar;15;11;996;3;0;25;9;0;0;2;0;31;14;7
